Cover,Distance,p,pmin,pmax
Yes,0.5,47.12645293074135,34.80899287195914,59.44391298952356
Yes,0.6299605249474366,47.126442380884754,34.80933300382901,59.4435517579405
Yes,0.7937005259840998,47.12640844291758,34.81033388162658,59.442483004208576
Yes,1,47.126299268039816,34.81325329465271,59.43934524142692
Yes,1.2599210498948732,47.125948070107924,34.82167707745175,59.430219062764095
Yes,1.5874010519681996,47.124818387181804,34.845649886116,59.40398688824761
Yes,2.0000000000000004,47.121185248381366,34.912615372508995,59.32975512425374
Yes,2.519842099789747,47.10950767014617,35.09465669597846,59.12435864431389
Yes,3.1748021039363987,47.072044399835235,35.567807587096596,58.576281212573875
Yes,4.000000000000001,46.952579560453586,36.693588072076665,57.21157104883051
Yes,5.039684199579492,46.57883138959025,38.80745879299895,54.35020398618155
Yes,6.349604207872798,45.47608378008242,39.643034549478784,51.309133010686054
Yes,8.000000000000002,42.714081740668234,35.38010293378965,50.04806054754682
Yes,10.079368399158986,37.92946523487031,31.75029655532175,44.10863391441887
Yes,12.699208415745598,33.25297908259897,27.665816072874584,38.840142092323354
Yes,15.999999999999998,30.648386099574253,21.14565539581797,40.15111680333054
No,0.5,65.06145155926669,52.72516969526172,77.39773342327165
No,0.6299605249474366,65.06145155926669,52.725169695261734,77.39773342327165
No,0.7937005259840998,65.06145155926667,52.72516969526218,77.39773342327116
No,1,65.06145155926615,52.72516969528037,77.39773342325192
No,1.2599210498948732,65.06145155924227,52.72516969599893,77.39773342248562
No,1.5874010519681996,65.06145155817597,52.72516972393693,77.39773339241502
No,2.0000000000000004,65.06145151055308,52.72517078615703,77.39773223494913
No,2.519842099789747,65.06144938359965,52.72520993953844,77.39768882766086
No,3.1748021039363987,65.06135438935043,52.726587996778854,77.396120781922
No,4.000000000000001,65.05711299123026,52.77116827518209,77.34305770727842
No,5.039684199579492,64.8701913977521,53.78055066483168,75.95983213067251
No,6.349604207872798,59.65062696608632,47.37392704406468,71.92732688810796
No,8.000000000000002,51.150554560928285,44.925964035105004,57.375145086751566
No,10.079368399158986,50.64342038907029,46.23832651565038,55.04851426249021
No,12.699208415745598,50.63164199486794,46.10296888809811,55.16031510163777
No,15.999999999999998,50.63137805413768,46.098417120199095,55.16433898807626
